新聞live,#genre#
《女人一片天》第11季,https://www.youtube.com/watch?v=rjfCpg5V2WM
《女人一片天》第12季,https://www.youtube.com/watch?v=NLIatpFFpQI
《女人一片天》第13季 完結篇,https://www.youtube.com/watch?v=2dLNg621Qxk
《女人一片天》第15季 完結篇,https://www.youtube.com/watch?v=jvWT7A8HCHw
《女人一片天》第16季,https://www.youtube.com/watch?v=yrNV4CEl1Ms
《女人一片天》（1-83）整篇，我稱之為宇宙最強的女人,https://www.youtube.com/watch?v=akxjZM8ORXc
《女人之苦》第1季（01-08）合集,https://www.youtube.com/watch?v=r_3v1n7GqY8
《女人之苦》第2季（09-13）合集,https://www.youtube.com/watch?v=ls41uAqZd7A
《女人之苦》第3季（14-17）合集,https://www.youtube.com/watch?v=HgeKPjiEIMo
《女人之苦》第4季（18-25）合集,https://www.youtube.com/watch?v=BeMOGofUJMI
《女人之苦》第5季（26-32）合集,https://www.youtube.com/watch?v=QWqcc3ENHcA
《她的田園生活》第1季,https://www.youtube.com/watch?v=JWbQQB0-n00
《她的田園生活》第2季,https://www.youtube.com/watch?v=e-rnCEetWiE
《她的田園生活》第3季,https://www.youtube.com/watch?v=U7Gp5JoqiX0
《她的田园生活》第4季,https://www.youtube.com/watch?v=2t9C9-hVgD0
《她的田園生活》第5季,https://www.youtube.com/watch?v=jfanAitLZTc
《定居越南》第1季（01-05）,https://www.youtube.com/watch?v=SugKHwzcW34
《定居越南》第2季（06-09）,https://www.youtube.com/watch?v=du5qwv7vj-k
《定居越南》第3季（10-13）,https://www.youtube.com/watch?v=Imkk5SenV1w
《小小捕魚人》第1季（01-03）合集,https://www.youtube.com/watch?v=3XpiHlWXO-w
《少女夢想》，追逐夢想的女孩最漂亮,https://www.youtube.com/watch?v=9Ro507KY3lM
《少年夢》第1季（01-09）合集,https://www.youtube.com/watch?v=OODGteC0tKE
《山間別墅》,https://www.youtube.com/watch?v=RT5ruaWR8sk
《平凡人生》第1季,https://www.youtube.com/watch?v=_QBXQPSy4rA
《平凡人生》第2季,https://www.youtube.com/watch?v=0yEPkWotWag
《平凡人生》第3季,https://www.youtube.com/watch?v=cL-JVCllA0w
《平凡人生》第4季,https://www.youtube.com/watch?v=rLEz8nW7yXo
《平凡人生》第5季,https://www.youtube.com/watch?v=2GSp_9lKDFk
《平凡人生》第6季,https://www.youtube.com/watch?v=8v49oEBmC0A
《平凡人生》第7季,https://www.youtube.com/watch?v=G-FYvujDgyA
《平凡人生》第8季,https://www.youtube.com/watch?v=K-xxzi4h0x8
《平凡人生》第9季,https://www.youtube.com/watch?v=YHlE_35bkDE
《平凡人生》第10季,https://www.youtube.com/watch?v=yOAtM-m1K3M
《平凡人生》第11季,https://www.youtube.com/watch?v=62fSzvggGxI
《挑戰叢林》第1季,https://www.youtube.com/watch?v=iT47OCbnS1M
《挑戰叢林》第2季,https://www.youtube.com/watch?v=U_QfdJqMv8s
《挑戰叢林》第3季（09-12）,https://www.youtube.com/watch?v=jvm6G7b9aog
《挑戰叢林》第4季（13-16）,https://www.youtube.com/watch?v=KzU9CDHcXnw
《挑戰叢林》第5季（17-20）,https://www.youtube.com/watch?v=dGczSTD9gVY
《挑戰叢林》第6季（21-25）,https://www.youtube.com/watch?v=kE-HSZcTbiA
《挑戰叢林》第6季（26-29）合集,https://www.youtube.com/watch?v=p54BwOa1Neg
《水上生存》01-06合集,https://www.youtube.com/watch?v=mPJl2Y-6I28
《獨行荒野》第1季（完結篇）,https://www.youtube.com/watch?v=hjfzrbkKVxg
《獨行荒野》第2季（完結篇）寂寞是雨林生存最大障礙,https://www.youtube.com/watch?v=8h9ZavDMKjQ
《獨行荒野》第3季（完結篇）強大毅力是野外求生一大法寶,https://www.youtube.com/watch?v=EEh9fYuGExE
《獨行荒野》第4季（13-17） 完結篇,https://www.youtube.com/watch?v=ZMVABK_Jri8
《獨行荒野》第5季 （18-20）,https://www.youtube.com/watch?v=kouamX3fL_U
《獨行荒野》（全篇）,https://www.youtube.com/watch?v=XOgiW-ClEuM
《自由小島》第1季,https://www.youtube.com/watch?v=fAGkJTxdUqw
《荒島求生》過成度假村的男人（合集）,https://www.youtube.com/watch?v=E3nN4wyVkIU
《荒島求生》，結果過成度假般的神仙生活，估計全網也沒誰了（合集）,https://www.youtube.com/watch?v=5ZmEwO-INLw
《荒野建造》大合集,https://www.youtube.com/watch?v=h3aS4VV67Y4
《荒野童話》第1季,https://www.youtube.com/watch?v=Bz53r48MqDY
《荒野童話》第2季（完結篇），女人的建造能力實在太強了,https://www.youtube.com/watch?v=rymWgi18YKM
《荒野童話》第3季（完結篇），女人簡簡單單的生活最是真,https://www.youtube.com/watch?v=DQAymRYPKOI
《荒野童話》第4季,https://www.youtube.com/watch?v=PS6YXobO_Vg
《荒野童話》第5季,https://www.youtube.com/watch?v=imo4owYzp3Y
《荒野竹屋》第1季,https://www.youtube.com/watch?v=JZlbSgAXZ0o
《荒野竹屋》第2季,https://www.youtube.com/watch?v=cfISfgBUPB0
《荒野竹屋》第3季（09-11）,https://www.youtube.com/watch?v=91_BpEYELvw
《荒野錘煉》01,https://www.youtube.com/watch?v=LvNAMFYfM5o
《農家小院》第1季（01-04）,https://www.youtube.com/watch?v=Ho9rsDRvKvE
《雄哥的野外求生》第1季（01-06合集）,https://www.youtube.com/watch?v=jMrxGBk0zIE
《雄哥的野外求生》第2季（07-12合集）,https://www.youtube.com/watch?v=wsYfqVzaTTU
《雄哥的野外求生》第3季（13-18合集）,https://www.youtube.com/watch?v=85OskBfExzc
《雄哥的野外求生》第4季（19-23合集）,https://www.youtube.com/watch?v=HqBccd5t6zc
《雄哥的野外求生》第5季（24-27合集）,https://www.youtube.com/watch?v=A4bIWJGn5hU
《雄哥的野外求生》第6季（28-30合集）,https://www.youtube.com/watch?v=w0cpWw297vQ
《雄哥的野外求生》（完整篇），激勵每位勤奮而樸實的務農者,https://www.youtube.com/watch?v=w7LdbD_kcAY
《雄哥的野外生存》第7季（31-33合集）,https://www.youtube.com/watch?v=CPMM-D0wrAY
《頂配女人》第1季 完結篇,https://www.youtube.com/watch?v=2IXp_x_v6lE
《頂配女人》第2季 完結篇,https://www.youtube.com/watch?v=C4hSWVbggPc
《頂配女人》第3季 完結篇,https://www.youtube.com/watch?v=l8nZMIH_ohg
《頂配女人》第4季 完結篇,https://www.youtube.com/watch?v=JXa8VNvRofE
《頂配女人》第5季 完結篇,https://www.youtube.com/watch?v=pIrQ2sdUEio
《頂配女人》第6季 完結篇,https://www.youtube.com/watch?v=P0eSPbQEGkY
《頂配女人》第7季 完結篇（20-22）,https://www.youtube.com/watch?v=D1_VDt7msm0
《頂配女人》第8季 （23-26）,https://www.youtube.com/watch?v=47EeBcaj2Ec
《頂配女人》第9季 （27-29）,https://www.youtube.com/watch?v=INBbVfhR-1g
一人一刀荒島生存大體驗，不怕三天沒一頓請來戰（合集）,https://www.youtube.com/watch?v=AMdJrnSTrK8
一男一女荒島求生（合集），看看他們是如何荒島生存捕魚，享受生活，一口氣讓你看個夠,https://www.youtube.com/watch?v=GyfG7pW3QHM
全網出其不意的野外建造,https://www.youtube.com/watch?v=1PWXmEULFn0
全網各路大神的荒野建造如此驚艷四座,https://www.youtube.com/watch?v=GOPYh53FN2I
千變萬化的野外建造，你喜歡哪一款,https://www.youtube.com/watch?v=L6uygMiJG-s
在不犯法的前提下，如何快速從屌絲變成富二代，這個視頻告訴，但你得夠膽量（合集）,https://www.youtube.com/watch?v=h25RHSazApo
游牧民族的孩子早當家，每次遷徙建造都是主力軍,https://www.youtube.com/watch?v=omaGJAslFEY
野外捕獵技術哪家強，這傢伙無疑是天花板的存在（合集）,https://www.youtube.com/watch?v=RiEbrcmpqDI
野外捕魚器的技巧（合集），看看鬍子哥的野外捕魚技巧，一口氣讓你看個夠,https://www.youtube.com/watch?v=jRn0VrhZMmo
野外求生02,#genre#
豪華帳篷露營，森林ASMR,https://www.youtube.com/watch?v=XLqOiVH2rOM
負10度 巨型帳篷露營，冰雪覆蓋，極寒單人露營ASMR,https://www.youtube.com/watch?v=B3VcQanC0co
負15度 舒適單人露營，暴風雪雪景ASMR,https://www.youtube.com/watch?v=N3M185Gias0
負5℃ 冬季海上露營，最佳屋頂帳篷，海浪聲[放鬆] 最佳風景,https://www.youtube.com/watch?v=vklUmL6Os7M
180天野外探險－在森林中搭建庇護所 -/精彩的叢林探險之旅...\影片縮時拍攝,https://www.youtube.com/watch?v=yoBvyalCDOE
雙臥巨型帳篷露營，比家更舒適！ ！露營ASMR,https://www.youtube.com/watch?v=mFhNKNycyrw
暴風雨天，獨自在雨聲中自駕露營[放鬆ASMR],https://www.youtube.com/watch?v=YCxz5HsI3ns
獨自建造掩體房屋。女孩在森林中過著離網生活 YEN Free Life,https://www.youtube.com/watch?v=6PFY9FDazGw
獨自一人的女孩在森林中建造地下掩體房屋 生存技能/ YEN Free Life,https://www.youtube.com/watch?v=3BEM_51O4Q0
獨自一人的女孩在森林中建造地下掩體 - 獨自一人的女孩在離網生活 YEN Free Life,https://www.youtube.com/watch?v=mYGVcnHgwWQ
獨自一人的女孩在森林中建造地下掩體 - 建造離網廚房 YEN Free Life,https://www.youtube.com/watch?v=Sj5bAj3vxyI
獨自一人的女孩在森林中建造地下掩體 - 手動挖井技能 YEN Free Life,https://www.youtube.com/watch?v=gL7xrYJWAHI
獨自一人的女孩在森林中建造地下掩體 - 為掩體建造道路和台階 YEN Free Life,https://www.youtube.com/watch?v=6hDs8MQ85nA
在巨石下建造叢林生存庇護所 溫暖的壁爐 釣魚巨型鯰魚,https://www.youtube.com/watch?v=GEXIIOn5E54
建造溫暖舒適的叢林生存庇護所 隱藏在樹叢中的秘密洞穴 釣魚和烹飪,https://www.youtube.com/watch?v=ygJWH9eeyBI
建造溫暖的地下木屋以求生存。秘密地堡 熏魚捕魚和烹飪。,https://www.youtube.com/watch?v=CCgoJGimypI
建造溫暖舒適的叢林生存庇護所：秘密樹屋、鰻魚陷阱、捕撈和烹飪,https://www.youtube.com/watch?v=1eTtVZfsQKg
建造令人驚嘆的水上避難小屋：生存露營樹屋、捕撈和烹飪,https://www.youtube.com/watch?v=n82BFuRKfX0
建造地下叢林生存洞穴：雨林生存、捕撈和烹飪,https://www.youtube.com/watch?v=A-zBTcVyTHo
在樹上建造房屋。女孩在森林中過著離網生活，享受自由生活,https://www.youtube.com/watch?v=4JA--_baRaY
在巨石下用竹子建造庇護所。女孩在森林裡過著離網生活 YEN Free Life,https://www.youtube.com/watch?v=d8Au4iZVsZM
用積木建造森林中的地堡 - SOLO 過夜 離網 YEN Free Life,https://www.youtube.com/watch?v=fs4yFAlqMOg
獨自在森林裡搭建地堡 女孩在森林裡過著離網生活 YEN Free Life,https://www.youtube.com/watch?v=8OulKPHj5YM
在倒下的樹下搭建溫暖的叢林生存庇護所 秘密小屋 捕撈和烹飪,https://www.youtube.com/watch?v=y_xX-MCbCqE
在厚厚的積雪中用新帳篷露營,https://www.youtube.com/watch?v=TMsA43z2AyA
在可怕的傾盆大雨中用汽車帳篷露營 雨天 ASMR,https://www.youtube.com/watch?v=x0tcZdldHhs
在雪地裡用四房充氣帳篷露營 舒適的 ASMR 放鬆露營,https://www.youtube.com/watch?v=drEzDhga2dU
在混亂中露營：意外的傾盆大雨 汽車帳篷 下雨天露營,https://www.youtube.com/watch?v=rHpjprrg1PY
在暴雨中用三房充氣帳篷露營,https://www.youtube.com/watch?v=S7QGFa7tchE
在暴雨中用巨型充氣帳篷露營 雨天 ASMR 喝馬格利酒煎餅,https://www.youtube.com/watch?v=ddUXneuqiCk
在暴雨中露營，全新汽車帳篷，享受下雨天ASMR（ASR）,https://www.youtube.com/watch?v=KER2_iRCUhg
在暴雨中露營，全新豪華充氣帳篷，享受下雨天ASMR（ASR）,https://www.youtube.com/watch?v=TDZvRgCBkjM
在暴雨中露營，全新豪華充氣帳篷，享受下雨天ASMR,https://www.youtube.com/watch?v=viYaz_-Wd_U
在暴雨中露營，五星級飯店充氣帳篷，享受雨天ASMR（ASR）,https://www.youtube.com/watch?v=n3_aPHMiUMs
在暴風雪中露營，全新充氣帳篷，享受拖拉機的駕駛,https://www.youtube.com/watch?v=PaD_go6j2KI
在舒適的海邊露營，全新充氣帳篷，享受ASMR（ASR）,https://www.youtube.com/watch?v=O2uoNVNOW7I
在雨雲中露營，享受山頂自然聲音,https://www.youtube.com/watch?v=qF-O50F4Qk4
在雨中露營，全新充氣帳篷，享受自然ASMR（ASR）,https://www.youtube.com/watch?v=6qOFPIxvUVI
在雪地露營，全新帳篷，享受自然聲音,https://www.youtube.com/watch?v=FlUvuMktcp4
在雪地享受聖誕露營，享受空氣帳篷,https://www.youtube.com/watch?v=5TLUlqhmuO0
在雪地舒適的充氣帳篷露營 營地 ASMR,https://www.youtube.com/watch?v=wXF6V7_nBW4
在有燃燒爐的熱氣帳篷裡露營 舒適的聲音,https://www.youtube.com/watch?v=q16nvOEiIAk
在療癒森林露營️ 營地 ASMR Nortent Lavvo6,https://www.youtube.com/watch?v=zluNJ2qzFdM
緊急情況️ 單人露營 在災難中傾盆大雨 柴爐煙霧瀰漫,https://www.youtube.com/watch?v=mqco95PIPfg
極限單人露營 在颱風中 在暴雨中 在海浪中 自然 ASMR,https://www.youtube.com/watch?v=CWRKaxY7O6A
完整影片：210 天，我在雨林中搭建庇護所、生存、狩獵和烹飪,https://www.youtube.com/watch?v=dVklBiWABTk
森林中離網生活的女孩 - 獨自露營 在溪流旁搭建庇護所 YEN 自由生活,https://www.youtube.com/watch?v=CTx159sFDwM
暴雨營地，配有三房充氣帳篷,https://www.youtube.com/watch?v=dQqXnHpdHk0
在濕雪和凍雨中露營 雪的聲音,https://www.youtube.com/watch?v=THSti99F-Kk
雪山熱帳篷單人露營️ Camp ASMR Nortent Gamme8,https://www.youtube.com/watch?v=pojHVbhGyWw
我如何利用藤蔓搭建樹上庇護所，在雨林中求生,https://www.youtube.com/watch?v=ilipd-G9SrY
我如何在森林中搭建一個懸掛在大樹枝上的隱藏庇護所,https://www.youtube.com/watch?v=eCKkJDKvO6s
我如何用樹上的藤蔓搭建一個秘密的野外生存小屋,https://www.youtube.com/watch?v=VAnxbI_GLRY
我如何在巨石下搭建一個溫暖的生存庇護所，可以住7天,https://www.youtube.com/watch?v=dMT0NpEzfUs
如何製作竹製桌椅 女孩獨自開啟新生活 YEN Free Life,https://www.youtube.com/watch?v=Z1RTvpBWVXA
我在叢林中的巨石內搭建了一個隱密的庇護所,https://www.youtube.com/watch?v=Ua40-DJfcW4
我鑿開一塊巨石，在雨林中搭建了一個溫暖的庇護所 珍貴茶葉的採集和烹飪,https://www.youtube.com/watch?v=NfEWwrWu-TM
我花了30天雕刻一塊巨大的石頭，為雨林中的生存搭建了一個溫暖的庇護所,https://www.youtube.com/watch?v=OQKb7RAfSuw
我花了7天在一棵大樹上用藤蔓搭建了一間房子，以便在雨林中求生,https://www.youtube.com/watch?v=7giXOX8DuS4
我把一個巨大的樹樁變成了一個舒適的5天生存庇護所,https://www.youtube.com/watch?v=IeTth-fDLUI
我花了45天建造了一間溫暖舒適的叢林生存小屋，用於地下生存。,https://www.youtube.com/watch?v=4f8Ft5t0JjE
雨中豪華房車露營,https://www.youtube.com/watch?v=twXiiDMGGJk
木屋建造縮時攝影 - 120天獨自女孩建造地堡小屋。從頭到尾,https://www.youtube.com/watch?v=DkTP8TXNIvE
木屋搭建縮時錄影：獨自一人的女孩在森林中搭建掩體,https://www.youtube.com/watch?v=nDf_1dj7bRw
深山軍用帳篷露營 自然 ASMR,https://www.youtube.com/watch?v=t0TvkSMs-iY
秘密森林軍用帳篷單人露營 探險營 ASMR,https://www.youtube.com/watch?v=T_x7MqvWv4E
深山極簡露營 自然 ASMR,https://www.youtube.com/watch?v=UHPeJJjVUNU
溪畔過夜汽車露營 自然 ASMR,https://www.youtube.com/watch?v=2B_wbe63BL8
豪華汽車帳篷雪地過夜露營,https://www.youtube.com/watch?v=oYW2HMUxzVY
美麗愜意的河畔完美汽車露營 [單人露營 ASMR],https://www.youtube.com/watch?v=Yco8l-AHL-A
全新汽車帳篷雨天露營 自然與雨天 ASMR,https://www.youtube.com/watch?v=a3q4L2piCbQ
舒適的充氣帳篷雨天露營,https://www.youtube.com/watch?v=DFJD4BRA30E
完美帳篷河畔露營 自然 ASMR,https://www.youtube.com/watch?v=og9aoHzghzY
溫暖舒適的帳篷暴風雪露營,https://www.youtube.com/watch?v=T79N1Ip-bF0
美麗河畔單人露營【放鬆的聲音，愜意的感覺】,https://www.youtube.com/watch?v=9pNMQ8rg5NY
仲夏夜，在舒適的雨林中獨自露營 自然 ASMR,https://www.youtube.com/watch?v=lAlosPZymtM
如夢似幻的雨中獨自露營 【放鬆的聲音，愜意的感覺】,https://www.youtube.com/watch?v=6c__EIrtAus
在秋日降臨的童話般的河畔獨自露營 自然之聲,https://www.youtube.com/watch?v=WCFpro55n7E
獨自露營雖然發生過很多意外，但笨手笨腳也沒關係吧？ ASMR,https://www.youtube.com/watch?v=jguWA9hGVrQ
星空下的獨自露營，你願意來我的帳篷看星星嗎？,https://www.youtube.com/watch?v=gg9bHtjAM84
驚險刺激的暴雨露營之夜 萬聖節露營 雨聲 ASMR,https://www.youtube.com/watch?v=O-kSYUupxMg
雲端單人露營是什麼感覺？壯麗景色 大自然之聲,https://www.youtube.com/watch?v=xKI9P22_gbs
野外生存秘訣：樹蔭下的雞籠和石砌壁爐,https://www.youtube.com/watch?v=VPihUqgJBDY
驚險暴雨露營 雨聲 ASMR,https://www.youtube.com/watch?v=KJPZlAgvpWw
暴雨露營 雷雨 ASMR RBM Outdoors [美國] STONECOLD [韓國],https://www.youtube.com/watch?v=m5LpHMgqDkw
暴雨露營 深山放鬆 ASMR 空氣帳篷,https://www.youtube.com/watch?v=kH5apbpnsPU
暴雨露營 全新豪華帳篷 大自然之聲,https://www.youtube.com/watch?v=mNSJXOewuug
暴雨露營 全新帳篷拖車,https://www.youtube.com/watch?v=ElD2OvPZH-0
暴雨露營 全新帳篷,https://www.youtube.com/watch?v=T_H5tjpYOqI
暴雨露營 暴雨期間在河邊露營 雨聲與雷聲 ASMR,https://www.youtube.com/watch?v=nSK8yjpO5F4
露營全新吊床帳篷，享受雨中淋浴 自然 ASMR 夜貓,https://www.youtube.com/watch?v=14WXF9vZWrI
雨中露營，舒適如家的充氣帳篷，自然聲音,https://www.youtube.com/watch?v=T0ayNtVqupQ
暴雨中獨自露營，帳篷破洞，自然之聲,https://www.youtube.com/watch?v=atbwLoNMeVo
傾盆大雨中驚險露營，一夜難忘 RAIN ASMR,https://www.youtube.com/watch?v=aqtxhYHsCMw
️全新帳篷，雨中露營 RAIN ASMR,https://www.youtube.com/watch?v=Nj2dxu1H_6Q
️五星級飯店充氣帳篷，暴雨露營,https://www.youtube.com/watch?v=WyxmBW7pvdo
️全新車載帳篷，暴雨露營 RAIN ASMR,https://www.youtube.com/watch?v=9jo3US7tGh4
️巨型膠囊充氣帳篷，雨中露營,https://www.youtube.com/watch?v=UzLkcuAXevg
️全新車載帳篷，雨中露營,https://www.youtube.com/watch?v=Quos58VnUIc
️雨中露營：搭建避難所,https://www.youtube.com/watch?v=ZFPlbfdeOLE
️豪華充氣帳篷，暴雨天露營，ASMR RBM 戶外,https://www.youtube.com/watch?v=sHrD2rt8tTo
️豪華帳篷，雷雨天露營,https://www.youtube.com/watch?v=MAeywaBIea0
️豪華汽車帳篷，狂風暴雨天露營，ASMR 自然風光,https://www.youtube.com/watch?v=GgQwLSJpyHs
️冰雪世界露營，舒適帳篷，ASMR 雪地露營,https://www.youtube.com/watch?v=iIh9l0tIHEE
雪地露營，雙臥室充氣帳篷，ASMR 雙臥室充氣帳篷,https://www.youtube.com/watch?v=hXxxeBUUqPM
雪地露營，全新充氣帳篷，ASMR 雪地露營,https://www.youtube.com/watch?v=zvotSvPIJWg
️雪地露營，雙臥充氣帳篷,https://www.youtube.com/watch?v=vycLW0r8co4
️雪地露營，全新充氣帳篷,https://www.youtube.com/watch?v=qGfAd-mnrdU
️雪地露營，溫暖充氣帳篷：雪中自然之聲,https://www.youtube.com/watch?v=L_DsDNvcz64
️在厚厚的積雪中，擁有舒適溫暖的庇護所,https://www.youtube.com/watch?v=Gg7BQZCHH-4
️在巨型充氣帳篷中雪中露營,https://www.youtube.com/watch?v=saI5hN0oNsM
️在雪天獨自在炎熱的巨型充氣帳篷中露營 露營 ASMR,https://www.youtube.com/watch?v=orzxeQPe_7o
在被海浪拍打的海灘上露營 海洋 ASMR,https://www.youtube.com/watch?v=6qy5cyQkcaA
在寧靜的海邊露營 聆聽海浪聲,https://www.youtube.com/watch?v=pBsn8SLVuno
秋末落葉飄零時的放鬆單人露營 露營 ASMR,https://www.youtube.com/watch?v=oDAY77s39as
