台湾綜合其他,#genre#
好消息,http://211.23.125.95:50007/litv-ftv16/index.m3u8?proxy=true
好消息,http://211.23.125.95:50007/li-litv-ftv16/index.m3u8?proxy=true
好消息,http://211.23.125.95:50007/of-litv-ftv16/index.m3u8?proxy=true
好消息2台,http://211.23.125.95:50007/litv-ftv17/index.m3u8?proxy=true
好消息2台,http://211.23.125.95:50007/li-litv-ftv17/index.m3u8?proxy=true
好消息2台,http://211.23.125.95:50007/of-litv-ftv17/index.m3u8?proxy=true
大愛二台,http://211.23.125.95:50007/4gtv-live106/index.m3u8?proxy=true
人間衛視,http://211.23.125.95:50007/4gtv-live008/index.m3u8?proxy=true
國會頻道1,http://211.23.125.95:50007/4gtv-4gtv084/index.m3u8?proxy=true
國會頻道1,http://211.23.125.95:50007/li-4gtv-4gtv084/index.m3u8?proxy=true
國會頻道1,http://211.23.125.95:50007/of-4gtv-4gtv084/index.m3u8?proxy=true
國會頻道2,http://211.23.125.95:50007/4gtv-4gtv085/index.m3u8?proxy=true
國會頻道2,http://211.23.125.95:50007/li-4gtv-4gtv085/index.m3u8?proxy=true
國會頻道2,http://211.23.125.95:50007/of-4gtv-4gtv085/index.m3u8?proxy=true
中天亞洲台,http://211.23.125.95:50007/4gtv-4gtv109/index.m3u8?proxy=true
TVBS HD,http://211.23.125.95:50007/li-4gtv-4gtv073/index.m3u8?proxy=true
歐飛,#genre#
台視,https://pxuchylhjchl.us-east-1.clawcloudrun.com/index.m3u8?pid=4gtv-4gtv066&sd=1080&proxy=false
台視新聞,https://pxuchylhjchl.us-east-1.clawcloudrun.com/index.m3u8?pid=4gtv-4gtv051&sd=1080&proxy=false
中視,https://pxuchylhjchl.us-east-1.clawcloudrun.com/index.m3u8?pid=4gtv-4gtv040&sd=1080&proxy=false
中視新聞,https://pxuchylhjchl.us-east-1.clawcloudrun.com/index.m3u8?pid=4gtv-4gtv074&sd=1080&proxy=false
華視,https://pxuchylhjchl.us-east-1.clawcloudrun.com/index.m3u8?pid=4gtv-4gtv041&sd=1080&proxy=false
華視新聞,https://pxuchylhjchl.us-east-1.clawcloudrun.com/index.m3u8?pid=4gtv-4gtv052&sd=1080&proxy=false
三立新聞iNEWS,https://pxuchylhjchl.us-east-1.clawcloudrun.com/index.m3u8?pid=iNEWS&sd=1080&proxy=false
中天新聞台,https://pxuchylhjchl.us-east-1.clawcloudrun.com/index.m3u8?pid=4gtv-4gtv009&sd=1080&proxy=false
寰宇新聞台灣台,https://pxuchylhjchl.us-east-1.clawcloudrun.com/index.m3u8?pid=4gtv-4gtv156&sd=1080&proxy=false
寰宇新聞台,https://pxuchylhjchl.us-east-1.clawcloudrun.com/index.m3u8?pid=litv-longturn14&sd=1080&proxy=false
寰宇財經台,https://pxuchylhjchl.us-east-1.clawcloudrun.com/index.m3u8?pid=4gtv-4gtv158&sd=1080&proxy=false
倪珍播新聞,https://pxuchylhjchl.us-east-1.clawcloudrun.com/index.m3u8?pid=nnews-zh&sd=1080&proxy=false
倪珍英語新聞,https://pxuchylhjchl.us-east-1.clawcloudrun.com/index.m3u8?pid=nnews-en&sd=1080&proxy=false
倪珍越南語新聞,https://pxuchylhjchl.us-east-1.clawcloudrun.com/index.m3u8?pid=nnews-vn&sd=1080&proxy=false
好消息,https://pxuchylhjchl.us-east-1.clawcloudrun.com/index.m3u8?pid=litv-ftv16&sd=1080&proxy=false
好消息2台,https://pxuchylhjchl.us-east-1.clawcloudrun.com/index.m3u8?pid=litv-ftv17&sd=1080&proxy=false
第1商業台,https://pxuchylhjchl.us-east-1.clawcloudrun.com/index.m3u8?pid=4gtv-4gtv104&sd=1080&proxy=false
國會頻道1台,https://pxuchylhjchl.us-east-1.clawcloudrun.com/index.m3u8?pid=4gtv-4gtv084&sd=1080&proxy=false
國會頻道2台,https://pxuchylhjchl.us-east-1.clawcloudrun.com/index.m3u8?pid=4gtv-4gtv085&sd=1080&proxy=false
ELTV生活英語台,https://pxuchylhjchl.us-east-1.clawcloudrun.com/index.m3u8?pid=litv-longturn20&sd=1080&proxy=false
Smart知識台,https://pxuchylhjchl.us-east-1.clawcloudrun.com/index.m3u8?pid=litv-longturn19&sd=1080&proxy=false
亞洲旅遊台,https://pxuchylhjchl.us-east-1.clawcloudrun.com/index.m3u8?pid=4gtv-4gtv076&sd=1080&proxy=false
台灣戲劇台,https://pxuchylhjchl.us-east-1.clawcloudrun.com/index.m3u8?pid=litv-longturn22&sd=1080&proxy=false
龍華卡通台,https://pxuchylhjchl.us-east-1.clawcloudrun.com/index.m3u8?pid=litv-longturn01&sd=1080&proxy=false
龍華戲劇台,https://pxuchylhjchl.us-east-1.clawcloudrun.com/index.m3u8?pid=litv-longturn18&sd=1080&proxy=false
龍華偶像台,https://pxuchylhjchl.us-east-1.clawcloudrun.com/index.m3u8?pid=litv-longturn12&sd=1080&proxy=false
龍華日韓台,https://pxuchylhjchl.us-east-1.clawcloudrun.com/index.m3u8?pid=litv-longturn11&sd=1080&proxy=false
龍華經典台,https://pxuchylhjchl.us-east-1.clawcloudrun.com/index.m3u8?pid=litv-longturn21&sd=1080&proxy=false
龍華電影台,https://pxuchylhjchl.us-east-1.clawcloudrun.com/index.m3u8?pid=litv-longturn03&sd=1080&proxy=false
龍華洋片台,https://pxuchylhjchl.us-east-1.clawcloudrun.com/index.m3u8?pid=litv-longturn02&sd=1080&proxy=false
東森購物1台,https://pxuchylhjchl.us-east-1.clawcloudrun.com/index.m3u8?pid=4gtv-4gtv102&sd=1080&proxy=false
東森購物2台,https://pxuchylhjchl.us-east-1.clawcloudrun.com/index.m3u8?pid=4gtv-4gtv103&sd=1080&proxy=false
ofiii直播,#genre#
台視,https://limited-annissa-ohjuste-free-120abbc3.koyeb.app/index.m3u8?pid=4gtv-4gtv066&sd=1080&proxy=false&token=Doubebly
台視新聞,https://limited-annissa-ohjuste-free-120abbc3.koyeb.app/index.m3u8?pid=4gtv-4gtv051&sd=1080&proxy=false&token=Doubebly
中視,https://limited-annissa-ohjuste-free-120abbc3.koyeb.app/index.m3u8?pid=4gtv-4gtv040&sd=1080&proxy=false&token=Doubebly
中視新聞,https://limited-annissa-ohjuste-free-120abbc3.koyeb.app/index.m3u8?pid=4gtv-4gtv074&sd=1080&proxy=false&token=Doubebly
華視,https://limited-annissa-ohjuste-free-120abbc3.koyeb.app/index.m3u8?pid=4gtv-4gtv041&sd=1080&proxy=false&token=Doubebly
華視新聞,https://limited-annissa-ohjuste-free-120abbc3.koyeb.app/index.m3u8?pid=4gtv-4gtv052&sd=1080&proxy=false&token=Doubebly
三立新聞iNEWS,https://limited-annissa-ohjuste-free-120abbc3.koyeb.app/index.m3u8?pid=iNEWS&sd=1080&proxy=false&token=Doubebly
中天新聞台,https://limited-annissa-ohjuste-free-120abbc3.koyeb.app/index.m3u8?pid=4gtv-4gtv009&sd=1080&proxy=false&token=Doubebly
寰宇新聞台灣台,https://limited-annissa-ohjuste-free-120abbc3.koyeb.app/index.m3u8?pid=4gtv-4gtv156&sd=1080&proxy=false&token=Doubebly
寰宇新聞台,https://limited-annissa-ohjuste-free-120abbc3.koyeb.app/index.m3u8?pid=litv-longturn14&sd=1080&proxy=false&token=Doubebly
寰宇財經台,https://limited-annissa-ohjuste-free-120abbc3.koyeb.app/index.m3u8?pid=4gtv-4gtv158&sd=1080&proxy=false&token=Doubebly
倪珍播新聞,https://limited-annissa-ohjuste-free-120abbc3.koyeb.app/index.m3u8?pid=nnews-zh&sd=1080&proxy=false&token=Doubebly
倪珍英語新聞,https://limited-annissa-ohjuste-free-120abbc3.koyeb.app/index.m3u8?pid=nnews-en&sd=1080&proxy=false&token=Doubebly
倪珍越南語新聞,https://limited-annissa-ohjuste-free-120abbc3.koyeb.app/index.m3u8?pid=nnews-vn&sd=1080&proxy=false&token=Doubebly
好消息,https://limited-annissa-ohjuste-free-120abbc3.koyeb.app/index.m3u8?pid=litv-ftv16&sd=1080&proxy=false&token=Doubebly
好消息2台,https://limited-annissa-ohjuste-free-120abbc3.koyeb.app/index.m3u8?pid=litv-ftv17&sd=1080&proxy=false&token=Doubebly
第1商業台,https://limited-annissa-ohjuste-free-120abbc3.koyeb.app/index.m3u8?pid=4gtv-4gtv104&sd=1080&proxy=false&token=Doubebly
國會頻道1台,https://limited-annissa-ohjuste-free-120abbc3.koyeb.app/index.m3u8?pid=4gtv-4gtv084&sd=1080&proxy=false&token=Doubebly
國會頻道2台,https://limited-annissa-ohjuste-free-120abbc3.koyeb.app/index.m3u8?pid=4gtv-4gtv085&sd=1080&proxy=false&token=Doubebly
ELTV生活英語台,https://limited-annissa-ohjuste-free-120abbc3.koyeb.app/index.m3u8?pid=litv-longturn20&sd=1080&proxy=false&token=Doubebly
Smart知識台,https://limited-annissa-ohjuste-free-120abbc3.koyeb.app/index.m3u8?pid=litv-longturn19&sd=1080&proxy=false&token=Doubebly
直播TAIWAN,#genre#
中天新聞(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv009
TVBS新聞台(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv072
東森新聞(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv152
民視新聞台(LiTV),http://tv543.cc/litv.php?token=leifeng&id=litv-ftv13
鏡新聞(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv075
非凡新聞(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv010
台視新聞(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv051
華視新聞(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv052
中視新聞(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv074
寰宇新聞台(LiTV),http://tv543.cc/litv.php?token=leifeng&id=litv-longturn14
寰宇新聞台灣台(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv156
半島新聞(LiTV),http://tv543.cc/litv.php?token=leifeng&id=litv-ftv10
美國之音(LiTV),http://tv543.cc/litv.php?token=leifeng&id=litv-ftv03
東森財經新聞(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv153
非凡商業台(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv048
台視財經(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv056
第1商業台(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv104
TVBS(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv073
台視(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv066
中視(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv040
華視(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv041
民視(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv002
民視(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv155
民視台灣台(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv001
民視第一台(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv003
中天亞洲台(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv109
靖天綜合台(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv046
靖天國際台(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv063
靖天資訊台(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv065
客家電視台(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv043
阿里郎(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv079
國會頻道1(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv084
國會頻道2(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv085
TVBS歡樂台(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv068
TVBS精采台(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv067
愛爾達娛樂(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv070
民視綜藝台(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv004
八大綜藝台(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv039
八大精彩台(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv034
靖天歡樂台(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv054
靖天育樂台(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv062
中視菁采台(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv064
豬哥亮歌廳秀(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv006
影迷數位電影台,http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv011
amc電影台(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv017
靖天電影台(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv061
靖天映畫(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv055
采昌影劇台(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv049
民視影劇(LiTV),http://tv543.cc/litv.php?token=leifeng&id=litv-ftv09
龍華電影(LiTV),http://tv543.cc/litv.php?token=leifeng&id=litv-longturn03
龍華洋片(LiTV),http://tv543.cc/litv.php?token=leifeng&id=litv-longturn02
公視戲劇(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv042
靖洋戲劇台(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv045
靖天戲劇台(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv058
中視經典台(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv080
靖天日本台(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv047
龍華戲劇(LiTV),http://tv543.cc/litv.php?token=leifeng&id=litv-longturn18
龍華日韓(LiTV),http://tv543.cc/litv.php?token=leifeng&id=litv-longturn11
龍華偶像(LiTV),http://tv543.cc/litv.php?token=leifeng&id=litv-longturn12
龍華經典(LiTV),http://tv543.cc/litv.php?token=leifeng&id=litv-longturn21
台灣戲劇台(LiTV),http://tv543.cc/litv.php?token=leifeng&id=litv-longturn22
時尚運動X(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv014
GinxTV(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv053
智林體育台(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv101
博斯魅力(LiTV),http://tv543.cc/litv.php?token=leifeng&id=litv-longturn04
博斯高球1(LiTV),http://tv543.cc/litv.php?token=leifeng&id=litv-longturn05
博斯高球2(LiTV),http://tv543.cc/litv.php?token=leifeng&id=litv-longturn06
博斯運動1(LiTV),http://tv543.cc/litv.php?token=leifeng&id=litv-longturn07
博斯運動2(LiTV),http://tv543.cc/litv.php?token=leifeng&id=litv-longturn08
博斯網球(LiTV),http://tv543.cc/litv.php?token=leifeng&id=litv-longturn09
博斯無限(LiTV),http://tv543.cc/litv.php?token=leifeng&id=litv-longturn10
博斯無限2(LiTV),http://tv543.cc/litv.php?token=leifeng&id=litv-longturn13
視納華仁紀實(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv013
Globetrotter(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv016
達文西頻道(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv018
亞洲旅遊台(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv076
民視旅遊(LiTV),http://tv543.cc/litv.php?token=leifeng&id=litv-ftv07
Smart知識台(LiTV),http://tv543.cc/litv.php?token=leifeng&id=litv-longturn19
靖天卡通台(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv044
靖洋卡通台(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv057
龍華卡通(LiTV),http://tv543.cc/litv.php?token=leifeng&id=litv-longturn01
古典音樂台(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv059
TRACE URBAN(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv082
MEZZO LIVE(LiTV),http://tv543.cc/litv.php?token=leifeng&id=4gtv-4gtv083
好消息1(LiTV),http://tv543.cc/litv.php?token=leifeng&id=litv-ftv16
好消息2(LiTV),http://tv543.cc/litv.php?token=leifeng&id=litv-ftv17
生活英語台(LiTV),http://tv543.cc/litv.php?token=leifeng&id=litv-longturn20
台湾立視,#genre#
台視,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv066
中視,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv040
華視,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv041
民視,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv002
民視,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv155
中視經典台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv080
中視菁采台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv064
民視台灣台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv001
民視第一台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv003
中天新聞,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv009
TVBS新聞台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv072
東森新聞,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv152
民視新聞台,https://tmxk.pp.ua/litv.php?token=tmxk&id=litv-ftv13
鏡電視新聞台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv075
非凡新聞,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv010
台視新聞,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv051
華視新聞,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv052
中視新聞,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv074
寰宇新聞台,https://tmxk.pp.ua/litv.php?token=tmxk&id=litv-longturn14
寰宇新聞台灣台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv156
東森財經新聞,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv153
非凡商業台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv048
台視財經,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv056
第1商業台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv104
TVBS,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv073
中天亞洲台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv109
客家電視台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv043
阿里郎,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv079
國會頻道1,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv084
國會頻道2,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv085
TVBS歡樂台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv068
TVBS精采台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv067
愛爾達娛樂,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv070
影迷數位電影台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv011
采昌影劇台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv049
amc電影台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv017
My Cinema Europe HD 我的歐洲電影台,https://tmxk.pp.ua/litv.php?token=tmxk&id=litv-ftv10
公視戲劇,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv042
龍華電影,https://tmxk.pp.ua/litv.php?token=tmxk&id=litv-longturn03
龍華洋片,https://tmxk.pp.ua/litv.php?token=tmxk&id=litv-longturn02
龍華戲劇,https://tmxk.pp.ua/litv.php?token=tmxk&id=litv-longturn18
龍華日韓,https://tmxk.pp.ua/litv.php?token=tmxk&id=litv-longturn11
龍華偶像,https://tmxk.pp.ua/litv.php?token=tmxk&id=litv-longturn12
龍華經典,https://tmxk.pp.ua/litv.php?token=tmxk&id=litv-longturn21
龍華卡通,https://tmxk.pp.ua/litv.php?token=tmxk&id=litv-longturn01
靖洋戲劇台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv045
靖天綜合台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv046
靖天國際台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv063
靖天資訊台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv065
靖天戲劇台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv058
靖天日本台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv047
靖天卡通台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv044
靖洋卡通台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv057
靖天歡樂台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv054
靖天育樂台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv062
靖天電影台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv061
靖天映畫,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv055
Smart知識台,https://tmxk.pp.ua/litv.php?token=tmxk&id=litv-longturn19
台灣戲劇台,https://tmxk.pp.ua/litv.php?token=tmxk&id=litv-longturn22
視納華仁紀實,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv013
韓國娛樂台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv016
達文西頻道,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv018
亞洲旅遊台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv076
生活英語台,https://tmxk.pp.ua/litv.php?token=tmxk&id=litv-longturn20
美國之音,https://tmxk.pp.ua/litv.php?token=tmxk&id=litv-ftv03
民視影劇台,https://tmxk.pp.ua/litv.php?token=tmxk&id=litv-ftv09
民視綜藝台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv004
民視旅遊台,https://tmxk.pp.ua/litv.php?token=tmxk&id=litv-ftv07
八大綜藝台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv039
八大精彩台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv034
豬哥亮歌廳秀,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv006
時尚運動X,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv014
GinxTV,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv053
智林體育台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv101
博斯魅力,https://tmxk.pp.ua/litv.php?token=tmxk&id=litv-longturn04
博斯高球,https://tmxk.pp.ua/litv.php?token=tmxk&id=litv-longturn05
博斯高球二,https://tmxk.pp.ua/litv.php?token=tmxk&id=litv-longturn06
博斯運動一,https://tmxk.pp.ua/litv.php?token=tmxk&id=litv-longturn07
博斯運動二,https://tmxk.pp.ua/litv.php?token=tmxk&id=litv-longturn08
博斯網球,https://tmxk.pp.ua/litv.php?token=tmxk&id=litv-longturn09
博斯無限,https://tmxk.pp.ua/litv.php?token=tmxk&id=litv-longturn10
博斯無限二,https://tmxk.pp.ua/litv.php?token=tmxk&id=litv-longturn13
